Item Number,Description,UPC,List Price,Price,DISCOUNT,NET,PS,New Release,Whse 1 Availability ,Whse 2 Availability,Product Type,Category,Sub-Category,Minimum Order Quantity,Case Quantity
PH44230-7,"KG BEVEL 4x6"" PS Extrusion Photo Frame, Dark Oak Trim Profile:W2.8xD1.7cm",68589442307,$2.35,$2.35,,YES,,,In Stock,In Stock,EVERYDAY,Photo Frames,"Size - 4"" x 6""",6,24
PH44231-4,"KG BEVEL 5x7"" PS Extrusion Photo Frame, Dark Oak Trim Profile:W2.8xD1.7cm",68589442314,$2.70,$2.70,,YES,,,In Stock,In Stock,EVERYDAY,Photo Frames,"Size - 5"" x 7""",6,24
PH44232-1,"KG BEVEL 8x10"" PS Extrusion Photo Frame, Dark Oak Trim Profile:W2.8xD1.7cm",68589442321,$4.25,$4.25,,YES,,,In Stock,In Stock,EVERYDAY,Photo Frames,"Size - 8"" x 10""",6,12
PH44233-8,"KG IVORY 4x6"" PS Photo Frame Trim Profile:2.5x2.4cm",68589442338,$1.95,$1.95,,YES,,,In Stock,In Stock,EVERYDAY,Photo Frames,"Size - 4"" x 6""",6,24
PH44234-5,"KG IVORY 5x7"" PS Photo Frame Trim Profile:2.5x2.4cm",68589442345,$2.35,$2.35,,YES,,,In Stock,In Stock,EVERYDAY,Photo Frames,"Size - 5"" x 7""",6,24
PH44235-2,"KG IVORY 8x10"" PS Photo Frame Trim Profile:2.5x2.4cm",68589442352,$3.45,$3.45,,YES,,,In Stock,In Stock,EVERYDAY,Photo Frames,"Size - 8"" x 10""",6,12
PH44236-9,"KG ARDEN 4x6"" PS Photo Frame, Smokestone Trim Profile:2.5x2.4cm",68589442369,$1.95,$1.95,,YES,,,In Stock,In Stock,EVERYDAY,Photo Frames,"Size - 4"" x 6""",6,24
PH44237-6,"KG ARDEN 5x7"" PS Photo Frame, Smokestone Trim Profile:2.5x2.4cm",68589442376,$2.35,$2.35,,YES,,,In Stock,In Stock,EVERYDAY,Photo Frames,"Size - 5"" x 7""",6,24
PH44238-3,"KG ARDEN 8x10"" PS Photo Frame, Smokestone Trim Profile:2.5x2.4cm",68589442383,$3.45,$3.45,,YES,,,In Stock,In Stock,EVERYDAY,Photo Frames,"Size - 8"" x 10""",6,12
PH44249-9,"KG FLO Instax 2x3"" MDF Floating Frame with 4x6"" Opening, Warm Oak . Trim Profile:W:1.5 D:4",68589442499,$2.65,$2.65,,YES,,,In Stock,In Stock,EVERYDAY,Photo Frames,Size - Others,6,24
PH44250-5,"KG MOOR 4x4"" Matted MDF Photo Frame, 6x6"" Opening, Light Walnut Trim Profile:W:1.8 D:4CM",68589442505,$2.75,$2.75,,YES,,,In Stock,In Stock,EVERYDAY,Photo Frames,Size - Others,5,20
PH44300-7,"KG Linen 200Pkt 4X6 Memo Album Gy Fabric cover w/window,slip-in (AZ)",68589443007,$7.70,$7.70,,YES,,,In Stock,In Stock,EVERYDAY,Photo Frames,Albums,6,12
PH44301-4,"KG Linen 200Pkt 4X6 Memo Album Bg Fabric cover w/window,slip-in (AZ)",68589443014,$8.20,$8.20,,YES,,,In Stock,In Stock,EVERYDAY,Photo Frames,Albums,6,12
PH44302-1,"KG Linen 200Pkt 4X6 Memo Album Bl Fabric cover w/window,slip-in (AZ)",68589443021,$8.20,$8.20,,YES,,,In Stock,In Stock,EVERYDAY,Photo Frames,Albums,6,12
PH44303-8,"KG Linen 11"" Self Adhesive Album GRAY,Fabric cover,window,40pg (AZ)",68589443038,$9.60,$9.60,,YES,,,In Stock,In Stock,EVERYDAY,Photo Frames,Albums,6,12
PH44305-2,"KG Linen 11"" Self Adhesive Album GREEN,Fabric cover,window,40pg (AZ)",68589443052,$8.75,$8.75,,YES,,,Out of Stock,In Stock,EVERYDAY,Photo Frames,Albums,6,12
PH44306-9,"KG Lea 200 Pkt 4X6"" Memo Album-Bk PU leather,slip-in photo album (AZ)",68589443069,$8.20,$8.20,,YES,,,In Stock,In Stock,EVERYDAY,Photo Frames,Albums,6,12
PH44307-6,"KG Lea 200 Pkt 4X6"" Memo Album-Blue PU leather,slip-in photo album (AZ)",68589443076,$8.20,$8.20,,YES,,,In Stock,In Stock,EVERYDAY,Photo Frames,Albums,6,12
PH44308-3,"KG Lea 200 Pkt 4X6"" Memo Album-Red PU leather,slip-in photo album (AZ)",68589443083,$8.20,$8.20,,YES,,,In Stock,In Stock,EVERYDAY,Photo Frames,Albums,6,12
PH44309-0,"KG Alder 4X6"" Frame BLACK/NATURAL WOOD ( LD S7 )",68589443090,$2.85,$2.85,,YES,,,In Stock,Coming Soon,EVERYDAY,Photo Frames,"Size - 4"" x 6""",6,24
